,IATA,ICAO,Airport name,Location served,Time,DST
2057,EGP,,Maverick County Memorial International Airport,"Eagle Pass, Texas, United States",UTC−06:00,Mar-Nov
2063,EIA,,Popondetta Airport,"Eia, Papua New Guinea",UTC+10:00,
2066,EIH,,Einasleigh Airport,"Einasleigh, Queensland, Australia",UTC+10:00,
2074,EJN,,Ejin Banner Taolai Airport,"Ejin Banner, Inner Mongolia, China",UTC+08:00,
2075,EJT,,Enejit Airport,"Enejit, Mili Atoll, Marshall Islands",UTC+12:00,
2078,EKD,,Elkedra Airport,"Elkedra, Northern Territory, Australia",UTC+09:30,
2079,EKE,,Ekereku Airport,"Ekereku, Guyana",UTC−04:00,
2090,ELE,,El Real Airport,"El Real, Panama",UTC−05:00,
2103,ELR,,Elelim Airport,"Elelim, Indonesia",UTC+09:00,
2108,ELW,,Ellamar Seaplane Base (FAA: 1Z9),"Ellamar, Alaska, United States",UTC−09:00,Mar-Nov
2109,ELX,,El Tigre Airport,"El Tigre, Venezuela",UTC−04:00,
2135,ENJ,,El Naranjo Airport,"El Naranjo, Guatemala",UTC−06:00,
2153,EPG,,Browns Airport (FAA: NE69),"Weeping Water, Nebraska, United States",UTC−06:00,Mar-Nov
2156,EPN,,Epéna Airport,"Epéna, Republic of the Congo",UTC+01:00,
2177,ERT,,Erdenet Airport,"Erdenet, Mongolia",UTC+08:00,
2181,ESA,,Esa'ala Airport,"Esa'ala, Papua New Guinea",UTC+10:00,
2189,ESI,,Espinosa Airport,"Espinosa, Minas Gerais, Brazil",UTC−03:00,Oct-Feb
2194,ESO,,Ohkay Owingeh Airport (FAA: E14),"Española, New Mexico, United States",UTC−07:00,Mar-Nov
2195,ESP,,Stroudsburg–Pocono Airport[1] (FAA: N53),"East Stroudsburg, Pennsylvania, United States",UTC−05:00,Mar-Nov
2212,EUE,,Eureka Airport (FAA: 05U),"Eureka, Nevada, United States",UTC−08:00,Mar-Nov
2217,EUO,,Paratebueno Airport[1],"Paratebueno, Colombia",UTC−05:00,
2220,EVA,,Ben Bruce Memorial Airpark (FAA: 4TE8),"Evadale, Texas, United States",UTC−06:00,Mar-Nov
2221,EVD,,Eva Downs Airport,"Eva Downs, Northern Territory, Australia",UTC+09:30,
2231,EWE,,Ewer Airport,"Ewer, Indonesia",UTC+09:00,
2237,EXI,,Excursion Inlet Seaplane Base,"Excursion Inlet, Alaska, United States",UTC−09:00,Mar-Nov
2243,EYR,,Yerington Municipal Airport[1] (FAA: O43),"Yerington, Nevada, United States",UTC−08:00,Mar-Nov
2248,EZV,,Beryozovo Airport[1],"Beryozovo, Khanty-Mansi Autonomous Okrug, Russia",UTC+05:00,
2258,FAK,,False Island Seaplane Base (FAA: 2Z6),"False Island, Alaska, United States",UTC−09:00,Mar-Nov
2277,FBS,,Friday Harbor Seaplane Base (FAA: W33),"Friday Harbor, Washington, United States",UTC−08:00,Mar-Nov
2294,FEA,,Fetlar Airport,"Fetlar, Scotland, United Kingdom",UTC±00:00,Mar-Oct
2317,FID,,Elizabeth Field (FAA: 0B8),"Fishers Island, New York, United States",UTC−05:00,Mar-Nov
2338,FLH,,Flotta Airport,"Flotta, Scotland, United Kingdom",UTC±00:00,Mar-Oct
2339,FLI,,Holt Airport,"Flateyri, Iceland",UTC±00:00,
2347,FLT,,Flat Airport,"Flat, Alaska, United States",UTC−09:00,Mar-Nov
2361,FMU,,Florence Municipal Airport[1] (FAA: 6S2),"Florence, Oregon, United States",UTC−08:00,Mar-Nov
2366,FND,,Funadhoo Airport,"Funadhoo, Shaviyani Atoll, Maldives",UTC+05:00,
2376,FOA,,Foula Airfield,"Foula, Scotland, United Kingdom",UTC±00:00,Mar-Oct
2377,FOB,,Fort Bragg Airport (FAA: 82CL),"Fort Bragg, California, United States",UTC−08:00,Mar-Nov
2385,FOO,,Kornasoren Airport (Numfoor Airport),"Numfoor, Indonesia",UTC+09:00,
2390,FOY,,Foya Airport,"Foya, Liberia",UTC±00:00,
2393,FPY,,Perry-Foley Airport (FAA: 40J),"Perry, Florida, United States",UTC−05:00,Mar-Nov
2419,FSL,,Fossil Downs Airport,"Fossil Downs Station, Western Australia, Australia",UTC+08:00,
2434,FUB,,Fulleborn Airport,"Fulleborn, Papua New Guinea",UTC+10:00,
2440,FUM,,Fuma Airport[1],"Fuma, Papua New Guinea",UTC+10:00,
2461,GAA,,Guamal Airport,"Guamal, Colombia",UTC−05:00,
2481,GAV,,Gag Island Airport,"Gag Island, Indonesia",UTC+09:00,
2483,GAX,,Gamba Airport,"Gamba, Gabon",UTC+01:00,
2485,GAZ,,Guasopa Airport,"Guasopa, Papua New Guinea",UTC+10:00,
2494,GBI,,Kalaburagi Airport,"Gulbarga, Karnataka, India",UTC+05:30,
2498,GBM,,Garbaharey Airport,"Garbaharey, Somalia",UTC+03:00,
2506,GCA,,Guacamayas Airport,"Guacamayas, Colombia",UTC−05:00,
2508,GCD,,Grand Coulee Dam Airport[2] (FAA: 3W7),"Electric City, Washington, United States",UTC−08:00,Mar-Nov
2515,GCT,,Grand Canyon Bar 10 Airport,"Whitmore, Arizona, United States",UTC−07:00,
2516,GCW,,Grand Canyon West Airport[2] (FAA: 1G4),"Peach Springs, Arizona, United States",UTC−07:00,
2518,GDA,,Gounda Airport,"Gounda, Central African Republic",UTC+01:00,
2523,GDH,,Golden Horn Lodge Seaplane Base (FAA: 3Z8),"Golden Horn Lodge, Alaska, United States",UTC−09:00,Mar-Nov
2524,GDI,,Gordil Airport,"Gordil, Central African Republic",UTC+01:00,
2539,GEC,,Geçitkale Air Base,"Geçitkale, Northern Cyprus",UTC+03:00,
2555,GFE,,Grenfell Airport[2],"Grenfell, New South Wales, Australia",UTC+10:00,Oct-Apr
2564,GGC,,Lumbala N'guimbo Airport,"Lumbala N'guimbo, Angola",UTC+01:00,
2571,GGL,,Gilgal Airport[2],"Gilgal, Colombia",UTC−05:00,
2575,GGR,,Garowe International Airport,"Garowe, Somalia",UTC+03:00,
2582,GHE,,Garachiné Airport,"Garachiné, Panama",UTC−05:00,
2584,GHK,,Gahcho Kue Aerodrome[2] (TC: CGK2),"Kennedy Lake, Northwest Territories, Canada",UTC−07:00,Mar-Nov
2597,GIM,,Miele Mimbale Airport,"Miele Mimbale, Gabon",UTC+01:00,
2600,GIT,,Geita Airport,"Geita, Tanzania",UTC+03:00,
2616,GKO,,Kongo Boumba Airport,"Kongo Boumba, Gabon",UTC+01:00,
2619,GLB,,San Carlos Apache Airport[2] (FAA: P13),"Globe, Arizona, United States",UTC−07:00,
2620,GLC,,Geladi Airport,"Geladi, Ethiopia",UTC+03:00,
2630,GLN,,Guelmim Airport,"Guelmim, Morocco",UTC±00:00,Mar-Oct1
2640,GLY,,Goldsworthy Airport,"Goldsworthy, Western Australia, Australia",UTC+08:00,
2644,GMC,,Guerima Airport,"Guerima, Colombia",UTC−05:00,
2657,GMV,,Monument Valley Airport (FAA: UT25),"Monument Valley, Utah, United States",UTC−07:00,Mar-Nov
2662,GNF,,Gansner Field[2] (FAA: 2O1),"Quincy, California, United States",UTC−08:00,Mar-Nov
2671,GNU,,Goodnews Airport,"Goodnews Bay, Alaska, United States",UTC−09:00,Mar-Nov
2678,GOE,,Gonaili Airstrip,"Gonaili, Papua New Guinea",UTC+10:00,
2684,GOL,,Gold Beach Municipal Airport (FAA: 4S1),"Gold Beach, Oregon, United States",UTC−08:00,Mar-Nov
2691,GOS,,Gosford Airport,"Gosford, New South Wales, Australia",UTC+10:00,Oct-Apr
2707,GRA,,Gamarra Airport,"Gamarra, Colombia",UTC−05:00,
2709,GRC,,Grand Cess Airport,"Grand Cess, Liberia",UTC±00:00,
2714,GRH,,Garuahi Airport,"Garuahi, Papua New Guinea",UTC+10:00,
2726,GRT,,Gujrat Airport,"Gujrat, Pakistan",UTC+05:00,
2740,GSL,,Taltheilei Narrows Airport[2] (TC: CFA7),"Taltheilei Narrows, Northwest Territories, Canada",UTC−07:00,Mar-Nov
2747,GSS,,Sabi Sabi Airport,"Sabie, South Africa",UTC+02:00,
2750,GSV,,Saratov Gagarin Airport,"Saratov, Saratov Oblast, Russia",UTC+04:00,
2758,GTP,,Grants Pass Airport[2] (FAA: 3S8),"Grants Pass, Oregon, United States",UTC−08:00,Mar-Nov
2763,GTY,,Gettysburg Regional Airport (FAA: W05),"Gettysburg, Pennsylvania, United States",UTC−05:00,Mar-Nov
2764,GTZ,,Kirawira B Airstrip[2],"Grumeti, Tanzania",UTC+03:00,
2769,GUE,,Guriaso Airport,"Guriaso, Papua New Guinea",UTC+10:00,
2801,GWN,,Gnarowein Airport,"Gnarowein, Papua New Guinea",UTC+10:00,
2805,GWV,,Glendale Fokker Field (FAA: WV66),"Glen Dale, West Virginia, United States",UTC−05:00,Mar-Nov
2853,HAY,,Hacaritama Airport,"Aguachica, Colombia",UTC−05:00,
2854,HAZ,,Hatzfeldthaven Airport,"Hatzfeldthaven, Papua New Guinea",UTC+10:00,
2856,HBB,,Hobbs Industrial Airpark,"Hobbs, New Mexico, United States",UTC−07:00,Mar-Nov
2857,HBD,,Habi Airport,"Habi, Papua New Guinea",UTC+10:00,
2860,HBH,,Entrance Island Seaplane Base (Hobart Bay) (FAA: 2Z1),"Entrance Island, Alaska, United States",UTC−09:00,Mar-Nov
2861,HBK,,Holbrook Municipal Airport[1] (FAA: P14),"Holbrook, Arizona, United States",UTC−07:00,
2862,HBQ,,Qilian Airport,"Qilian, Qinghai, China",,
2864,HBT,,Hambantota Sea Plane Base,"Hambantota, Sri Lanka",UTC+05:30,
2868,HCC,,Columbia County Airport (FAA: 1B1),"Hudson, New York, United States",UTC−05:00,Mar-Nov
2889,HED,,Herendeen Bay Airport (FAA: AK33),"Herendeen Bay, Alaska, United States",UTC−09:00,Mar-Nov
2896,HEO,,Haelogo Airport,"Haelogo, Papua New Guinea",UTC+10:00,
2919,HGZ,,Hog River Airport (FAA: 2AK6),"Hogatza, Alaska, United States",UTC−09:00,Mar-Nov
2947,HKB,,Healy Lake Airport,"Healy Lake, Alaska, United States",UTC−09:00,Mar-Nov
2972,HLV,,Helenvale Airport,"Helenvale, Queensland, Australia",UTC+10:00,
2992,HNI,,Heiweni Airport,"Heiweni, Papua New Guinea",UTC+10:00,
2995,HNN,,Honinabi Airport,"Honinabi, Papua New Guinea",UTC+10:00,
3000,HOC,,Komako Airport,"Komako, Papua New Guinea",UTC+10:00,
3010,HOO,,Nhon Co Airport,"Quang Duc, Vietnam",UTC+07:00,
3019,HOY,,Hoy Island Airport,"Longhope, Scotland, United Kingdom",UTC±00:00,Mar-Oct
3022,HPE,,Hopevale Airport,"Hopevale, Queensland, Australia",UTC+10:00,
3027,HPV,,Princeville Airport (FAA: HI01),"Hanalei, Hawaii, United States",UTC−10:00,
3031,HRC,,Zhayrem Airport,"Zhayrem, Kazakhstan",UTC+06:00,
3039,HRR,,La Herrera Airport,"La Herrera, Colombia",UTC−05:00,
3046,HSC,,Shaoguan Guitou Airport,"Shaoguan, Guangdong, China",UTC+08:00,
3050,HSJ,,Zhengzhou Shangjie Airport[1],"Zhengzhou, Henan, China",UTC+08:00,
3070,HTT,,Huatugou Airport,"Huatugou, Qinghai, China",UTC+08:00,
3078,HUC,,Humacao Airport,"Humacao, Puerto Rico, United States",UTC−04:00,
3079,HUD,,Humboldt Municipal Airport (FAA: 0K7),"Humboldt, Iowa, United States",UTC−06:00,Mar-Nov
3086,HUK,,Hukuntsi Airport,"Hukuntsi, Botswana",UTC+02:00,
3109,HWA,,Hawabango Airport,"Hawabango, Papua New Guinea",UTC+10:00,
3111,HWI,,Hawk Inlet Seaplane Base,"Hawk Inlet, Alaska, United States",UTC−09:00,Mar-Nov
3120,HYF,,Hayfields Airport,"Hayfields, Papua New Guinea",UTC+10:00,
3122,HYL,,Hollis Clark Bay Seaplane Base,"Hollis, Alaska, United States",UTC−09:00,Mar-Nov
3133,HZU,,Chengdu Huaizhou Airport,"Chengdu, Sichuan, China",UTC+08:00,
3146,IAU,,Iaura Airport,"Iaura, Papua New Guinea",UTC+10:00,
3150,IBI,,Iboki Airport,"Iboki, Papua New Guinea",UTC+10:00,
3151,IBL,,Indigo Bay Lodge Airport,"Bazaruto Island, Mozambique",UTC+02:00,
3152,IBO,,Ibo Island Airport[1],"Ibo Island, Mozambique",UTC+02:00,
3163,ICS,,Cascade Airport[1] (FAA: KU70),"Cascade, Idaho, United States",UTC−07:00,Mar-Nov
3165,ICY,,Icy Bay Airport (FAA: 19AK),"Icy Bay, Alaska, United States",UTC−09:00,Mar-Nov
3168,IDC,,Chilonzuine Island Airstrip[1],"Chilonzuine Island, Mozambique",UTC+02:00,
3174,IDN,,Indagen Airport,"Indagen, Papua New Guinea",UTC+10:00,
3210,IHU,,Ihu Airport,"Ihu, Papua New Guinea",UTC+10:00,
3244,ILX,,Ileg Airport,"Ileg, Papua New Guinea",UTC+10:00,
3247,IMA,,Iamalele Airport,"Iamalele, Papua New Guinea",UTC+10:00,
3249,IMD,,Imonda Airport,"Imonda, Papua New Guinea",UTC+10:00,
3251,IMG,,Inhaminga Airport,"Inhaminga, Mozambique",UTC+02:00,
3252,IMI,,Ine Airport (FAA: N20),"Ine, Arno Atoll, Marshall Islands",UTC+12:00,
3262,INB,,Independence Airport,"Independence, Belize",UTC−06:00,
3265,INE,,Chinde Airport,"Chinde, Mozambique",UTC+02:00,
3282,INY,,Inyati Airport,"Inyati, South Africa",UTC+02:00,
3285,IOK,,Iokea Airport,"Iokea, Papua New Guinea",UTC+10:00,
3288,IOP,,Ioma Airport,"Ioma, Papua New Guinea",UTC+10:00,
3310,IRB,,Iraan Municipal Airport (FAA: 2F0),"Iraan, Texas, United States",UTC−06:00,Mar-Nov
3323,IRU,,Iranamadu Waterdrome,"Kilinochchi, Sri Lanka",UTC+05:30,
3328,ISD,,Iscuande Airport,"Iscuande, Colombia",UTC−05:00,
3348,ITI,,Itambacuri Airport,"Itambacuri, Minas Gerais, Brazil",UTC−03:00,Oct-Feb
3349,ITK,,Itokama Airport,"Itokama, Papua New Guinea",UTC+10:00,
3358,IUL,,Ilu Airport,"Ilu, Indonesia",UTC+09:00,
3359,IUS,,Inus Airport,"Inus, Papua New Guinea",UTC+11:00,
3363,IVI,,Viveros Island Airport[1],"Viveros Island, Panama",UTC−05:00,
3365,IVO,,Chibolo Airport,"Chibolo, Colombia",UTC−05:00,
3400,IZM[1],,metropolitan area2,"İzmir, Turkey",UTC+03:00,
3413,JAM,,Bezmer Air Base,"Yambol, Bulgaria",UTC+02:00,Mar-Oct
3416,JAQ,,Jacquinot Bay Airport,"Jacquinot Bay, Papua New Guinea",UTC+10:00,
3419,JAT,,Jabot Airport,"Jabat Island, Marshall Islands",UTC+12:00,
3427,JBT,,Bethel Seaplane Base (FAA: Z59),"Bethel, Alaska, United States",UTC−09:00,Mar-Nov
3434,JCY,,LBJ Ranch Airport (FAA: 0TE7),"Johnson City, Texas, United States",UTC−06:00,Mar-Nov
3447,JEJ,,Jeh Airport,"Jeh Island, Ailinglaplap Atoll, Marshall Islands",UTC+12:00,
3448,JEK,,Jeki Airstrip[1],"Jeki, Zambia",UTC+02:00,
3455,JGB,,Jagdalpur Airport,"Jagdalpur, Chhattisgarh, India",UTC+05:30,
3461,JHL,,Fort MacKay/Albian Aerodrome[1] (TC: CAL4),"Fort McKay, Alberta, Canada",UTC−07:00,Mar-Nov
3473,JIO,,Jos Orno Imsula Airport,"Tiakur, Southwest Maluku, Indonesia",UTC+07:00,
3489,JKT[1],,metropolitan area2,"Jakarta, Indonesia",UTC+07:00,
3491,JLA,,Quartz Creek Airport,"Cooper Landing, Alaska, United States",UTC−09:00,Mar-Nov
3495,JMB,,Jamba Airport,"Jamba, Angola",UTC+01:00,
3513,JOJ,,Doris Lake Aerodrome[1] (TC: CDL7),"Doris Lake, Nunavut, Canada",UTC−07:00,Mar-Nov
3517,JOP,,Josephstaal Airport,"Josephstaal, Papua New Guinea",UTC+10:00,
3546,JUH,,Chizhou Jiuhuashan Airport,"Chizhou / Tongling, Anhui, China",UTC+08:00,
3558,JVI,,Central Jersey Regional Airport (FAA: 47N),"Manville, New Jersey, United States",UTC−05:00,Mar-Nov
3572,KAE,,Kake Seaplane Base,"Kake, Alaska, United States",UTC−09:00,Mar–Nov
3573,KAF,,Karato Airport,"Karato, Papua New Guinea",UTC+11:00,
3577,KAK,,Kar Airport,"Kar, Papua New Guinea",UTC+10:00,
3594,KBB,,Kirkimbie Airport[1],"Kirkimbie Station, Northern Territory, Australia",UTC+09:30,
3595,KBC,,Birch Creek Airport (FAA: Z91),"Birch Creek, Alaska, United States",UTC−09:00,Mar–Nov
3596,KBD,,Kimberley Downs Airport,"Kimberley Downs, Western Australia, Australia",UTC+08:00,
3597,KBE,,Bell Island Hot Springs Seaplane Base,"Bell Island, Alaska, United States",UTC−09:00,Mar–Nov
3610,KBT,,Kaben Airport,"Kaben, Maloelap Atoll, Marshall Islands",UTC+12:00,
3613,KBW,,Chignik Bay Seaplane Base (FAA: Z78),"Chignik, Alaska, United States",UTC−09:00,Mar–Nov
3619,KCC,,Coffman Cove Seaplane Base,"Coffman Cove, Alaska, United States",UTC−09:00,Mar–Nov
3620,KCD,,Kamur Airport,"Kamur, Indonesia",UTC+09:00,
3622,KCF,,Kadanwari Airport,"Kadanwari, Pakistan",UTC+05:00,
3623,KCG,,Chignik Fisheries Airport (closed),"Chignik, Alaska, United States",,
3625,KCJ,,Komaio Airport,"Komaio, Papua New Guinea",UTC+10:00,
3627,KCL,,Chignik Lagoon Airport (Chignik Flats Airport),"Chignik Lagoon, Alaska, United States",UTC−09:00,Mar–Nov
3629,KCN,,Chernofski Harbor Seaplane Base,"Chernofski Harbor, Alaska, United States",UTC−09:00,Mar–Nov
3631,KCP,,Kamianets-Podilskyi Airport,"Kamianets-Podilskyi, Ukraine",UTC+02:00,Mar–Oct
3632,KCQ,,Chignik Lake Airport (FAA: A79),"Chignik Lake, Alaska, United States",UTC−09:00,Mar–Nov
3633,KCR,,Colorado Creek Airport,"Colorado Creek, Alaska, United States",UTC−09:00,Mar–Nov
3654,KDS,,Kamaran Downs Airport,"Kamaran Downs, Queensland, Australia",UTC+10:00,
3658,KDW,,Victoria Reservoir Seaplane Base[1],"Kandy, Sri Lanka",UTC+05:30,
3661,KDZ,,Polgolla Reservoir Seaplane Base[1],"Kandy, Sri Lanka",UTC+05:30,
3663,KEB,,Nanwalek Airport,"Nanwalek, Alaska, United States",UTC−09:00,Mar–Nov
3669,KEH,,Kenmore Air Harbor (FAA: S60),"Kenmore, Washington, United States",UTC−08:00,Mar–Nov
3672,KEK,,Ekwok Airport,"Ekwok, Alaska, United States",UTC−09:00,Mar–Nov
3684,KEW,,Keewaywin Airport (TC LID: CPV8),"Keewaywin, Ontario, Canada",UTC−06:00,Mar–Nov
3687,KEZ,,Kelani River-Peliyagoda Waterdrome[1],"Colombo, Sri Lanka",UTC+05:30,
3691,KFM,,Kirby Lake Airport,"Wood Buffalo, Alberta, Canada",UTC−06:00,Mar–Nov
3707,KGM,,Kungim Airport[1],"Kungim, Papua New Guinea",UTC+10:00,
3711,KGR,,Kulgera Airport,"Kulgera, Northern Territory, Australia",UTC+09:30,
3718,KGZ,,Glacier Creek Airport,"Glacier Creek, Alaska, United States",UTC−09:00,Mar–Nov
3730,KHO,,Khoka Moya Airport,"Manyeleti, South Africa",UTC+02:00,
3734,KHU,,Kremenchuk Airport,"Kremenchuk, Ukraine",UTC+02:00,Mar–Oct
3737,KHX,,Kihihi Airstrip[1],"Kihihi, Uganda",UTC+03:00,
3740,KIA,,Kaiapit Airport,"Kaiapit, Papua New Guinea",UTC+10:00,
3741,KIB,,Ivanof Bay Seaplane Base,"Ivanof Bay, Alaska, United States",UTC−09:00,Mar–Nov
3745,KIF,,Kingfisher Lake Airport,"Kingfisher Lake, Ontario, Canada",UTC−06:00,Mar–Nov
3746,KIG,,Koingnaas Airport,"Koingnaas, South Africa",UTC+02:00,
3751,KIL,,Kilwa Airport,"Kilwa, Democratic Republic of the Congo",UTC+02:00,
3754,KIO,,Kili Airport (FAA: Q51),"Kili Island, Marshall Islands",UTC+12:00,
3760,KIU,,Kiunga Airport,"Kiunga, Kenya",UTC+03:00,
3765,KIZ,,Kikinonda Airport,"Kikinonda, Papua New Guinea",UTC+10:00,
3767,KJH,,Kaili Huangping Airport,"Kaili, Guizhou, China",UTC+08:00,
3772,KJU,,Kamiraba Airport,"Kamiraba, Papua New Guinea",UTC+10:00,
3773,KJX,,Blangpidie Airport,"Blangpidie, Southwest Aceh Regency, Indonesia",UTC+07:00,
3775,KKB,,Kitoi Bay Seaplane Base,"Kitoi Bay, Alaska, United States",UTC−09:00,Mar–Nov
3779,KKG,,Konawaruk Airport,"Konawaruk, Guyana",UTC−04:00,
3781,KKI,,Akiachak Airport (FAA: Z13),"Akiachak, Alaska, United States",UTC−09:00,Mar–Nov
3783,KKK,,Kalakaket Creek Air Station (FAA: 1KC),"Kalakaket Creek, Alaska, United States: Google Earth view",UTC−09:00,Mar–Nov
3784,KKL,,Karluk Lake Seaplane Base,"Karluk Lake, Alaska, United States",UTC−09:00,Mar–Nov
3792,KKT,,Kentland Municipal Airport (FAA: 50I),"Kentland, Indiana, United States",UTC−06:00,Mar–Nov
3793,KKU,,Ekuk Airport,"Ekuk, Alaska, United States",UTC−09:00,Mar–Nov
3807,KLL,,Levelock Airport (FAA: 9Z8),"Levelock, Alaska, United States",UTC−09:00,Mar–Nov
3821,KMB,,Koinambe Airport,"Koinambe, Papua New Guinea",UTC+10:00,
3831,KMM,,Kimam Airport,"Kimam, Indonesia",UTC+09:00,
3838,KMT,,Kampot Airport,"Kampot, Cambodia",UTC+07:00,
3843,KMY,,Moser Bay Seaplane Base,"Moser Bay, Alaska, United States",UTC−09:00,Mar–Nov
3855,KNL,,Kelanoa Airport,"Kelanoa, Papua New Guinea",UTC+10:00,
3870,KOD,,Kotabangun Airport,"Kotabangun, Indonesia",UTC+08:00,
3878,KOL,,Koumala Airport,"Koumala, Central African Republic",UTC+01:00,
3879,KOM,,Komo-Manda Airport,"Komo-Manda, Papua New Guinea",UTC+10:00,
3880,KON,,Kontum Airport,"Kon Tum, Vietnam",UTC+07:00,
3891,KOY,,Olga Bay Seaplane Base,"Olga Bay, Alaska, United States",UTC−09:00,Mar–Nov
3892,KOZ,,Ouzinkie Airport (FAA: 4K5),"Ouzinkie, Alaska, United States",UTC−09:00,Mar–Nov
3894,KPB,,Point Baker Seaplane Base,"Point Baker, Alaska, United States",UTC−09:00,Mar–Nov
3898,KPG,,Kurupung Airport,"Kurupung, Guyana",UTC−04:00,
3900,KPL,,Kapal Airport,"Kapal, Papua New Guinea",UTC+10:00,
3905,KPR,,Port Williams Seaplane Base,"Port Williams, Alaska, United States",UTC−09:00,Mar–Nov
3907,KPT,,Jackpot Airport (Hayden Field) (FAA: 06U),"Jackpot, Nevada, United States",UTC−07:00,Mar–Nov
3910,KPY,,Port Bailey Seaplane Base,"Port Bailey, Alaska, United States",UTC−09:00,Mar–Nov
3919,KRD,,Kurundi Airport,"Kurundi Station, Northern Territory, Australia",UTC+09:30,
3936,KRV,,Kimwarer Airport (Kerio Valley Airport),"Kimwarer, Kenya",UTC+03:00,
3947,KSG,,Kisengam Airport,"Kisengam, Papua New Guinea",UTC+10:00,
3968,KTB,,Thorne Bay Seaplane Base,"Thorne Bay, Alaska, United States",UTC−09:00,Mar–Nov
3969,KTC,,Katiola Airport,"Katiola, Ivory Coast",UTC±00:00,
