,IATA,ICAO,Airport name,Location served,Time,DST
5539,OCA,,Ocean Reef Club Airport (FAA: 07FA),"Key Largo, Florida, United States",,
5547,OCS,,Corisco International Airport[1],"Corisco Island, Equatorial Guinea",,
5552,ODC,,Oakdale Airport[1] (FAA: O27),"Oakdale, California, United States",,
5557,ODL,,Cordillo Downs Airport[1],"Cordillo Downs, South Australia, Australia",,
5558,ODM,,Garrett County Airport[1] (FAA: 2G4),"Oakland, Maryland, United States",,
5579,OGE,,Ogeramnang Airport[1],"Ogeramnang, Papua New Guinea",,
5582,OGM,,Ustupu-Ogobsucum Airport[1],"Ustupo, Panama",,
5592,OHB,,Ambohibary Airport[1],"Moramanga, Madagascar",,
5607,OJU,,Tanjung Api Airport,"Ampana, Tojo Una-Una Regency, Central Sulawesi, Indonesia",,
5614,OKG,,Okoyo Airport[1],"Okoyo, Republic of the Congo",,
5629,OKV,,Okao Airport[1],"Okao, Papua New Guinea",,
5637,OLH,,Old Harbor Airport (FAA: 6R7),"Old Harbor, Alaska, United States",,
5641,OLL,,Oyo Ollombo Airport,"Oyo, Republic of the Congo",,
5646,OLQ,,Olsobip Airport[1],"Olsobip, Papua New Guinea",,
5651,OLX,,Olkiombo Airstrip[1],"Olkiombo, Kenya",,
5665,OML,,Omkalai Airport[1],"Omkalai, Papua New Guinea",,
5670,OMY,,Thbeng Meanchey Airport[1] (Preah Vinhear Airport),"Phnom Tbeng Meanchey, Cambodia",,
5674,ONE,,Onepusu Airport[1],"Onepusu, Solomon Islands",,
5676,ONH,,Oneonta Municipal Airport (FAA: N66),"Oneonta, New York, United States",,
5698,OPB,,Open Bay Airport[1],"Open Bay, Papua New Guinea",,
5723,ORS,,Orpheus Island Resort Waterport,"Orpheus Island, Queensland, Australia",,
5731,OSA[1],,metropolitan area1,"Osaka, Honshu, Japan",,
5732,OSB,,Grand Glaize-Osage Beach Airport (FAA: K15),"Osage Beach, Missouri, United States",,
5735,OSE,,Omora Airport[1],"Omora, Papua New Guinea",,
5737,OSG,,Ossima Airport[1],"Ossima, Papua New Guinea",,
5753,OTA,,Mota Airport[1],"Mota, Ethiopia",,
5755,OTD,,Contadora Airport,"Contadora Island, Panama",,
5763,OTN,,Ed-Air Airport (FAA: 2IG4),"Oaktown, Indiana, United States",,
5766,OTS,,Anacortes Airport (FAA: 74S),"Anacortes, Washington, United States",,
5767,OTT,,Andre Maggi Airport[1],"Cotriguaçu, Mato Grosso, Brazil",,
5770,OTY,,Oria Airport[1],"Oria, Papua New Guinea",,
5777,OUK,,Out Skerries Airport[1],"Out Skerries, Scotland, United Kingdom",,
5779,OUM,,Oum Hadjer Airport,"Oum Hadjer, Chad",,
5784,OUU,,Ouanga Airport[1],"Ouanga, Gabon",,
5797,OWE,,Owendo Airport[1],"Owendo, Gabon",,
5803,OXO,,Orientos Airport[1],"Orientos, Queensland, Australia",,
5808,OYG,,Moyo Airport[1],"Moyo Town, Uganda",,
5837,PAR[1],,metropolitan area1,"Paris, Île-de-France, France",,
5842,PAW,,Pambwa Airport[1],"Pambwa, Papua New Guinea",,
5862,PBT,,Puerto Leda Airport[1],"Puerto Leda, Paraguay",,
5869,PCC,,Puerto Rico Airport[1],"Puerto Rico, Colombia",,
5873,PCJ,,Puerto La Victoria Airport[1],"Puerto Casado (La Victoria), Paraguay",,
5875,PCM,,Playa del Carmen Airport,"Playa del Carmen, Quintana Roo, Mexico",,
5879,PCQ,,Boun Neua Airport[1],"Phongsaly, Laos",,
5882,PCT,,Princeton Airport (FAA: 39N),"Princeton / Rocky Hill, New Jersey, United States",,
5883,PCU,,Poplarville-Pearl River County Airport[1] (FAA: M13),"Poplarville, Mississippi, United States",,
5884,PCV,,Punta Chivato Airstrip[1],"Punta Chivato, Baja California Sur, Mexico",,
5886,PDB,,Pedro Bay Airport (FAA: 4K0),"Pedro Bay, Alaska, United States",,
5892,PDI,,Pindiu Airport[1],"Pindiu, Papua New Guinea",,
5895,PDM,,Pedasí Airport[1] (Capt. J. Montenegro Airport),"Pedasí, Panama",,
5896,PDN,,Parndana Airport[1],"Parndana, South Australia, Australia",,
5899,PDR,,Presidente Dutra Airport[1],"Presidente Dutra, Maranhão, Brazil",,
5907,PEB,,Pebane Airport[1],"Pebane, Mozambique",,
5908,PEC,,Pelican Seaplane Base[1],"Pelican, Alaska, United States",,
5919,PEP,,Peppimenarti Airport[1],"Peppimenarti, Northern Territory, Australia",,
5928,PEY,,Penong Airport[1],"Penong, South Australia, Australia",,
5933,PFM,,Primrose Aerodrome,"Wood Buffalo, Alberta, Canada",,
5938,PGB,,Pangoa Airport[1],"Pangoa, Papua New Guinea",,
5939,PGC,,Grant County Airport (FAA: W99),"Petersburg, West Virginia, United States",,
5941,PGE,,Yegepa Airport,"Yegepa, Papua New Guinea",,
5947,PGM,,Port Graham Airport,"Port Graham, Alaska, United States",,
5948,PGN,,Pangia Airport[1],"Pangia, Papua New Guinea",,
5952,PGS,,Grand Canyon Caverns Airport (FAA: L37),"Peach Springs, Arizona, United States",,
5963,PHG,,Port Harcourt City Airport[1],"Port Harcourt, Nigeria",,
5989,PIQ,,Pipillipai Airport[1],"Pipillipai, Guyana",,
6013,PKM,,Port Kaituma Airport[1],"Port Kaituma, Guyana",,
6025,PLA,,Planadas Airport[1],"Planadas, Colombia",,
6026,PLC,,Planeta Rica Airport[1],"Planeta Rica, Colombia",,
6028,PLE,,Paiela Airport,"Paiela, Papua New Guinea",,
6031,PLI,,Palm Island Airport[1],"Palm Island, Saint Vincent and the Grenadines",,
6047,PLY,,Plymouth Municipal Airport (FAA: C65),"Plymouth, Indiana, United States",,
6059,PMN,,Pumani Airport[1],"Pumani, Papua New Guinea",,
6061,PMP,,Pimaga Airport,"Pimaga, Papua New Guinea",,
6065,PMT,,Paramakatoi Airport[1],"Paramakatoi, Guyana",,
6068,PMX,,Metropolitan Airport[1] (FAA: 13MA),"Palmer, Massachusetts, United States",,
6079,PNJ,,Penglai Shahekou Airport[1],"Penglai, Shandong, China",,
6088,PNU,,Panguitch Municipal Airport (FAA: U55),"Panguitch, Utah, United States",,
6123,PPH,,Parai-tepuí Airport[1],"Parai-tepuí (Peraitepuy), Venezuela",,
6136,PPV,,Port Protection Seaplane Base (FAA: 19P),"Port Protection, Alaska, United States",,
6138,PPX,,Param Airport[1],"Param, Papua New Guinea",,
6140,PPZ,,Puerto Páez Airport[1],"Puerto Páez, Venezuela",,
6142,PQD,,Batticaloa Seaplane Base[1],"Batticaloa, Sri Lanka",,
6146,PQS,,Pilot Station Airport (FAA: 0AK),"Pilot Station, Alaska, United States",,
6151,PRE,,Pore Airport[1],"Pore, Colombia",,
